Track Name,Race Number,Race URL,Race Time
MOONEE VALLEY (VIC),1,https://swiftbet.com.au//racing/gallops/moonee-valley/race-1-1902985-1083021,Race Completed
MOONEE VALLEY (VIC),2,https://swiftbet.com.au//racing/gallops/moonee-valley/race-2-1902988-1083021,Race Completed
MOONEE VALLEY (VIC),3,https://swiftbet.com.au//racing/gallops/moonee-valley/race-3-1902994-1083021,Race Completed
MOONEE VALLEY (VIC),4,https://swiftbet.com.au//racing/gallops/moonee-valley/race-4-1903001-1083021,Race Completed
MOONEE VALLEY (VIC),5,https://swiftbet.com.au//racing/gallops/moonee-valley/race-5-1903006-1083021,Race Completed
MOONEE VALLEY (VIC),6,https://swiftbet.com.au//racing/gallops/moonee-valley/race-6-1903013-1083021,Race Completed
MOONEE VALLEY (VIC),7,https://swiftbet.com.au//racing/gallops/moonee-valley/race-7-1903019-1083021,Race Completed
MOONEE VALLEY (VIC),8,https://swiftbet.com.au//racing/gallops/moonee-valley/race-8-1903026-1083021,Race Completed
KILMORE (VIC),1,https://swiftbet.com.au//racing/gallops/kilmore/race-1-1902963-1083017,Race Completed
KILMORE (VIC),2,https://swiftbet.com.au//racing/gallops/kilmore/race-2-1902965-1083017,Race Completed
KILMORE (VIC),3,https://swiftbet.com.au//racing/gallops/kilmore/race-3-1902967-1083017,Race Completed
KILMORE (VIC),4,https://swiftbet.com.au//racing/gallops/kilmore/race-4-1902970-1083017,Race Completed
KILMORE (VIC),5,https://swiftbet.com.au//racing/gallops/kilmore/race-5-1902975-1083017,Race Completed
KILMORE (VIC),6,https://swiftbet.com.au//racing/gallops/kilmore/race-6-1902983-1083017,Race Completed
KILMORE (VIC),7,https://swiftbet.com.au//racing/gallops/kilmore/race-7-1902990-1083017,Race Completed
KILMORE (VIC),8,https://swiftbet.com.au//racing/gallops/kilmore/race-8-1902997-1083017,Race Completed
MOREE (NSW),1,https://swiftbet.com.au//racing/gallops/moree/race-1-1902972-1083019,Race Completed
MOREE (NSW),2,https://swiftbet.com.au//racing/gallops/moree/race-2-1902977-1083019,Race Completed
MOREE (NSW),3,https://swiftbet.com.au//racing/gallops/moree/race-3-1902981-1083019,Race Completed
MOREE (NSW),4,https://swiftbet.com.au//racing/gallops/moree/race-4-1902987-1083019,Race Completed
MOREE (NSW),5,https://swiftbet.com.au//racing/gallops/moree/race-5-1902993-1083019,Race Completed
MOREE (NSW),6,https://swiftbet.com.au//racing/gallops/moree/race-6-1902998-1083019,Race Completed
MOREE (NSW),7,https://swiftbet.com.au//racing/gallops/moree/race-7-1903004-1083019,Race Completed
MOREE (NSW),8,https://swiftbet.com.au//racing/gallops/moree/race-8-1903011-1083019,Race Completed
WAGGA (NSW),1,https://swiftbet.com.au//racing/gallops/wagga/race-1-1902991-1083023,Race Completed
WAGGA (NSW),2,https://swiftbet.com.au//racing/gallops/wagga/race-2-1902995-1083023,Race Completed
WAGGA (NSW),3,https://swiftbet.com.au//racing/gallops/wagga/race-3-1902999-1083023,Race Completed
WAGGA (NSW),4,https://swiftbet.com.au//racing/gallops/wagga/race-4-1903003-1083023,Race Completed
WAGGA (NSW),5,https://swiftbet.com.au//racing/gallops/wagga/race-5-1903009-1083023,Race Completed
WAGGA (NSW),6,https://swiftbet.com.au//racing/gallops/wagga/race-6-1903016-1083023,Race Completed
WAGGA (NSW),7,https://swiftbet.com.au//racing/gallops/wagga/race-7-1903018-1083023,Race Completed
WAGGA (NSW),8,https://swiftbet.com.au//racing/gallops/wagga/race-8-1903024-1083023,Race Completed
LAUNCESTON (TAS),1,https://swiftbet.com.au//racing/gallops/launceston/race-1-1901420-1082902,Race Completed
LAUNCESTON (TAS),2,https://swiftbet.com.au//racing/gallops/launceston/race-2-1901441-1082902,Race Completed
LAUNCESTON (TAS),3,https://swiftbet.com.au//racing/gallops/launceston/race-3-1901464-1082902,Race Completed
LAUNCESTON (TAS),4,https://swiftbet.com.au//racing/gallops/launceston/race-4-1901474-1082902,Race Completed
LAUNCESTON (TAS),5,https://swiftbet.com.au//racing/gallops/launceston/race-5-1901477-1082902,Race Completed
LAUNCESTON (TAS),6,https://swiftbet.com.au//racing/gallops/launceston/race-6-1901484-1082902,Race Completed
LAUNCESTON (TAS),7,https://swiftbet.com.au//racing/gallops/launceston/race-7-1901491-1082902,Race Completed
LAUNCESTON (TAS),8,https://swiftbet.com.au//racing/gallops/launceston/race-8-1901499-1082902,Race Completed
IPSWICH (QLD),1,https://swiftbet.com.au//racing/gallops/ipswich/race-1-1903007-1083024,Race Completed
IPSWICH (QLD),2,https://swiftbet.com.au//racing/gallops/ipswich/race-2-1903012-1083024,Race Completed
IPSWICH (QLD),3,https://swiftbet.com.au//racing/gallops/ipswich/race-3-1903015-1083024,Race Completed
IPSWICH (QLD),4,https://swiftbet.com.au//racing/gallops/ipswich/race-4-1903020-1083024,Race Completed
IPSWICH (QLD),5,https://swiftbet.com.au//racing/gallops/ipswich/race-5-1903023-1083024,Race Completed
IPSWICH (QLD),6,https://swiftbet.com.au//racing/gallops/ipswich/race-6-1903027-1083024,Race Completed
IPSWICH (QLD),7,https://swiftbet.com.au//racing/gallops/ipswich/race-7-1903030-1083024,Race Completed
ASCOT PARK (NZL),1,https://swiftbet.com.au//racing/gallops/ascot-park/race-1-1901415-1082897,Race Completed
ASCOT PARK (NZL),2,https://swiftbet.com.au//racing/gallops/ascot-park/race-2-1901426-1082897,Race Completed
ASCOT PARK (NZL),3,https://swiftbet.com.au//racing/gallops/ascot-park/race-3-1901444-1082897,Race Completed
ASCOT PARK (NZL),4,https://swiftbet.com.au//racing/gallops/ascot-park/race-4-1901451-1082897,Race Completed
ASCOT PARK (NZL),5,https://swiftbet.com.au//racing/gallops/ascot-park/race-5-1901462-1082897,Race Completed
ASCOT PARK (NZL),6,https://swiftbet.com.au//racing/gallops/ascot-park/race-6-1901470-1082897,Race Completed
GEELONG (VIC),1,https://swiftbet.com.au//racing/greyhounds/geelong/race-1-1902835-1083009,Race Completed
GEELONG (VIC),2,https://swiftbet.com.au//racing/greyhounds/geelong/race-2-1902839-1083009,Race Completed
GEELONG (VIC),3,https://swiftbet.com.au//racing/greyhounds/geelong/race-3-1902840-1083009,Race Completed
GEELONG (VIC),4,https://swiftbet.com.au//racing/greyhounds/geelong/race-4-1902843-1083009,Race Completed
GEELONG (VIC),5,https://swiftbet.com.au//racing/greyhounds/geelong/race-5-1902846-1083009,Race Completed
GEELONG (VIC),6,https://swiftbet.com.au//racing/greyhounds/geelong/race-6-1902849-1083009,Race Completed
GEELONG (VIC),7,https://swiftbet.com.au//racing/greyhounds/geelong/race-7-1902852-1083009,3/1/7/2
GEELONG (VIC),8,https://swiftbet.com.au//racing/greyhounds/geelong/race-8-1902856-1083009,Race Completed
GEELONG (VIC),9,https://swiftbet.com.au//racing/greyhounds/geelong/race-9-1902860-1083009,Race Completed
GEELONG (VIC),10,https://swiftbet.com.au//racing/greyhounds/geelong/race-10-1902867-1083009,Race Completed
GEELONG (VIC),11,https://swiftbet.com.au//racing/greyhounds/geelong/race-11-1902874-1083009,Race Completed
GEELONG (VIC),12,https://swiftbet.com.au//racing/greyhounds/geelong/race-12-1902880-1083009,11m
SHEPPARTON (VIC),1,https://swiftbet.com.au//racing/greyhounds/shepparton/race-1-1903172-1083043,Race Completed
SHEPPARTON (VIC),2,https://swiftbet.com.au//racing/greyhounds/shepparton/race-2-1903180-1083043,Race Completed
SHEPPARTON (VIC),3,https://swiftbet.com.au//racing/greyhounds/shepparton/race-3-1903188-1083043,Race Completed
SHEPPARTON (VIC),4,https://swiftbet.com.au//racing/greyhounds/shepparton/race-4-1903198-1083043,Race Completed
SHEPPARTON (VIC),5,https://swiftbet.com.au//racing/greyhounds/shepparton/race-5-1903205-1083043,Race Completed
SHEPPARTON (VIC),6,https://swiftbet.com.au//racing/greyhounds/shepparton/race-6-1903209-1083043,Race Completed
SHEPPARTON (VIC),7,https://swiftbet.com.au//racing/greyhounds/shepparton/race-7-1903213-1083043,Race Completed
SHEPPARTON (VIC),8,https://swiftbet.com.au//racing/greyhounds/shepparton/race-8-1903218-1083043,Race Completed
SHEPPARTON (VIC),9,https://swiftbet.com.au//racing/greyhounds/shepparton/race-9-1903223-1083043,Race Completed
SHEPPARTON (VIC),10,https://swiftbet.com.au//racing/greyhounds/shepparton/race-10-1903225-1083043,Race Completed
SHEPPARTON (VIC),11,https://swiftbet.com.au//racing/greyhounds/shepparton/race-11-1903226-1083043,Race Completed
SHEPPARTON (VIC),12,https://swiftbet.com.au//racing/greyhounds/shepparton/race-12-1903227-1083043,Race Completed
RICHMOND (NSW),1,https://swiftbet.com.au//racing/greyhounds/richmond/race-1-1901586-1082913,Race Completed
RICHMOND (NSW),2,https://swiftbet.com.au//racing/greyhounds/richmond/race-2-1901591-1082913,Race Completed
RICHMOND (NSW),3,https://swiftbet.com.au//racing/greyhounds/richmond/race-3-1901601-1082913,Race Completed
RICHMOND (NSW),4,https://swiftbet.com.au//racing/greyhounds/richmond/race-4-1901613-1082913,Race Completed
RICHMOND (NSW),5,https://swiftbet.com.au//racing/greyhounds/richmond/race-5-1901629-1082913,Race Completed
RICHMOND (NSW),6,https://swiftbet.com.au//racing/greyhounds/richmond/race-6-1901657-1082913,Race Completed
RICHMOND (NSW),7,https://swiftbet.com.au//racing/greyhounds/richmond/race-7-1901677-1082913,Race Completed
RICHMOND (NSW),8,https://swiftbet.com.au//racing/greyhounds/richmond/race-8-1901686-1082913,Race Completed
RICHMOND (NSW),9,https://swiftbet.com.au//racing/greyhounds/richmond/race-9-1901696-1082913,Race Completed
RICHMOND (NSW),10,https://swiftbet.com.au//racing/greyhounds/richmond/race-10-1901708-1082913,Race Completed
RICHMOND (NSW),11,https://swiftbet.com.au//racing/greyhounds/richmond/race-11-1901717-1082913,1m 40s
RICHMOND (NSW),12,https://swiftbet.com.au//racing/greyhounds/richmond/race-12-1901723-1082913,18m
MANDURAH (WA),1,https://swiftbet.com.au//racing/greyhounds/mandurah/race-1-1901842-1082945,Race Completed
MANDURAH (WA),2,https://swiftbet.com.au//racing/greyhounds/mandurah/race-2-1901852-1082945,Race Completed
MANDURAH (WA),3,https://swiftbet.com.au//racing/greyhounds/mandurah/race-3-1901864-1082945,8m
MANDURAH (WA),4,https://swiftbet.com.au//racing/greyhounds/mandurah/race-4-1901878-1082945,27m
MANDURAH (WA),5,https://swiftbet.com.au//racing/greyhounds/mandurah/race-5-1901889-1082945,43m
MANDURAH (WA),6,https://swiftbet.com.au//racing/greyhounds/mandurah/race-6-1901902-1082945,1h 0m
MANDURAH (WA),7,https://swiftbet.com.au//racing/greyhounds/mandurah/race-7-1901912-1082945,1h 15m
MANDURAH (WA),8,https://swiftbet.com.au//racing/greyhounds/mandurah/race-8-1901920-1082945,1h 38m
MANDURAH (WA),9,https://swiftbet.com.au//racing/greyhounds/mandurah/race-9-1901925-1082945,1h 57m
MANDURAH (WA),10,https://swiftbet.com.au//racing/greyhounds/mandurah/race-10-1901928-1082945,2h 13m
MANDURAH (WA),11,https://swiftbet.com.au//racing/greyhounds/mandurah/race-11-1901931-1082945,2h 35m
HEALESVILLE (VIC),1,https://swiftbet.com.au//racing/greyhounds/healesville/race-1-1903156-1083041,Race Completed
HEALESVILLE (VIC),2,https://swiftbet.com.au//racing/greyhounds/healesville/race-2-1903163-1083041,Race Completed
HEALESVILLE (VIC),3,https://swiftbet.com.au//racing/greyhounds/healesville/race-3-1903168-1083041,Race Completed
HEALESVILLE (VIC),4,https://swiftbet.com.au//racing/greyhounds/healesville/race-4-1903176-1083041,Race Completed
HEALESVILLE (VIC),5,https://swiftbet.com.au//racing/greyhounds/healesville/race-5-1903186-1083041,Race Completed
HEALESVILLE (VIC),6,https://swiftbet.com.au//racing/greyhounds/healesville/race-6-1903194-1083041,Race Completed
HEALESVILLE (VIC),7,https://swiftbet.com.au//racing/greyhounds/healesville/race-7-1903202-1083041,Race Completed
HEALESVILLE (VIC),8,https://swiftbet.com.au//racing/greyhounds/healesville/race-8-1903206-1083041,Race Completed
HEALESVILLE (VIC),9,https://swiftbet.com.au//racing/greyhounds/healesville/race-9-1903210-1083041,Race Completed
HEALESVILLE (VIC),10,https://swiftbet.com.au//racing/greyhounds/healesville/race-10-1903214-1083041,Race Completed
HEALESVILLE (VIC),11,https://swiftbet.com.au//racing/greyhounds/healesville/race-11-1903216-1083041,Race Completed
HEALESVILLE (VIC),12,https://swiftbet.com.au//racing/greyhounds/healesville/race-12-1903220-1083041,Race Completed
WAGGA (NSW),1,https://swiftbet.com.au//racing/greyhounds/wagga/race-1-1901610-1082922,Race Completed
WAGGA (NSW),2,https://swiftbet.com.au//racing/greyhounds/wagga/race-2-1901616-1082922,Race Completed
WAGGA (NSW),3,https://swiftbet.com.au//racing/greyhounds/wagga/race-3-1901632-1082922,Race Completed
WAGGA (NSW),4,https://swiftbet.com.au//racing/greyhounds/wagga/race-4-1901654-1082922,Race Completed
WAGGA (NSW),5,https://swiftbet.com.au//racing/greyhounds/wagga/race-5-1901668-1082922,Race Completed
WAGGA (NSW),6,https://swiftbet.com.au//racing/greyhounds/wagga/race-6-1901681-1082922,Race Completed
WAGGA (NSW),7,https://swiftbet.com.au//racing/greyhounds/wagga/race-7-1901690-1082922,Race Completed
WAGGA (NSW),8,https://swiftbet.com.au//racing/greyhounds/wagga/race-8-1901700-1082922,Race Completed
WAGGA (NSW),9,https://swiftbet.com.au//racing/greyhounds/wagga/race-9-1901709-1082922,Race Completed
WAGGA (NSW),10,https://swiftbet.com.au//racing/greyhounds/wagga/race-10-1901718-1082922,Race Completed
WAGGA (NSW),11,https://swiftbet.com.au//racing/greyhounds/wagga/race-11-1901727-1082922,Race Completed
WAGGA (NSW),12,https://swiftbet.com.au//racing/greyhounds/wagga/race-12-1901735-1082922,Race Completed
IPSWICH (QLD),1,https://swiftbet.com.au//racing/greyhounds/ipswich/race-1-1901649-1082926,Race Completed
IPSWICH (QLD),2,https://swiftbet.com.au//racing/greyhounds/ipswich/race-2-1901671-1082926,Race Completed
IPSWICH (QLD),3,https://swiftbet.com.au//racing/greyhounds/ipswich/race-3-1901682-1082926,Race Completed
IPSWICH (QLD),4,https://swiftbet.com.au//racing/greyhounds/ipswich/race-4-1901691-1082926,Race Completed
IPSWICH (QLD),5,https://swiftbet.com.au//racing/greyhounds/ipswich/race-5-1901702-1082926,Race Completed
IPSWICH (QLD),6,https://swiftbet.com.au//racing/greyhounds/ipswich/race-6-1901713-1082926,Race Completed
IPSWICH (QLD),7,https://swiftbet.com.au//racing/greyhounds/ipswich/race-7-1901720-1082926,Race Completed
IPSWICH (QLD),8,https://swiftbet.com.au//racing/greyhounds/ipswich/race-8-1901728-1082926,Race Completed
IPSWICH (QLD),9,https://swiftbet.com.au//racing/greyhounds/ipswich/race-9-1901736-1082926,Race Completed
IPSWICH (QLD),10,https://swiftbet.com.au//racing/greyhounds/ipswich/race-10-1901742-1082926,Race Completed
IPSWICH (QLD),11,https://swiftbet.com.au//racing/greyhounds/ipswich/race-11-1901747-1082926,Race Completed
IPSWICH (QLD),12,https://swiftbet.com.au//racing/greyhounds/ipswich/race-12-1901751-1082926,Race Completed
TOWNSVILLE (QLD),1,https://swiftbet.com.au//racing/greyhounds/townsville/race-1-1903153-1083040,Race Completed
TOWNSVILLE (QLD),2,https://swiftbet.com.au//racing/greyhounds/townsville/race-2-1903159-1083040,Race Completed
TOWNSVILLE (QLD),3,https://swiftbet.com.au//racing/greyhounds/townsville/race-3-1903166-1083040,Race Completed
TOWNSVILLE (QLD),4,https://swiftbet.com.au//racing/greyhounds/townsville/race-4-1903174-1083040,Race Completed
TOWNSVILLE (QLD),5,https://swiftbet.com.au//racing/greyhounds/townsville/race-5-1903182-1083040,Race Completed
TOWNSVILLE (QLD),6,https://swiftbet.com.au//racing/greyhounds/townsville/race-6-1903190-1083040,Race Completed
TOWNSVILLE (QLD),7,https://swiftbet.com.au//racing/greyhounds/townsville/race-7-1903196-1083040,Race Completed
TOWNSVILLE (QLD),8,https://swiftbet.com.au//racing/greyhounds/townsville/race-8-1903204-1083040,Race Completed
TOWNSVILLE (QLD),9,https://swiftbet.com.au//racing/greyhounds/townsville/race-9-1903208-1083040,Race Completed
TOWNSVILLE (QLD),10,https://swiftbet.com.au//racing/greyhounds/townsville/race-10-1903212-1083040,Race Completed
TOWNSVILLE (QLD),11,https://swiftbet.com.au//racing/greyhounds/townsville/race-11-1903217-1083040,Race Completed
TOWNSVILLE (QLD),12,https://swiftbet.com.au//racing/greyhounds/townsville/race-12-1903222-1083040,Race Completed
